V1,V2,V3,V4,V5,V6,V7,period_cat,location,target_type
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,epiforecasts-EpiExpert,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiExpert,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,ILM-EKF,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
FIAS_FZJ-Epi1Ger,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,itwm-dSEIR,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,itwm-dSEIR,2,DE,Cases
FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Cases
IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert_direct,2,DE,Cases
IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,CovidMetrics-epiBATS,2,DE,Cases
IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,itwm-dSEIR,2,DE,Cases
FIAS_FZJ-Epi1Ger,ILM-EKF,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS,2,DE,Cases
ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,2,DE,Cases
IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Cases
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,2,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,2,DE,Cases
HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS,2,DE,Cases
IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,epiforecasts-EpiExpert,itwm-dSEIR,2,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,Karlen-pypm,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
ILM-EKF,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,2,DE,Cases
IEM_Health-CovidProject,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,2,DE,Cases
HZI-AgeExtendedSEIR,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Cases
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Cases
FIAS_FZJ-Epi1Ger,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,UMass-MechBayes,epiforecasts-EpiExpert,epiforecasts-EpiNow2,2,DE,Deaths
ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiExpert,itwm-dSEIR,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Deaths
HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,2,DE,Deaths
ILM-EKF,ITWW-county_repro,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,2,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,UMass-MechBayes,epiforecasts-EpiExpert,itwm-dSEIR,2,DE,Deaths
HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,2,DE,Deaths
HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_direct,itwm-dSEIR,2,DE,Deaths
HZI-AgeExtendedSEIR,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,itwm-dSEIR,2,DE,Deaths
EuroCOVIDhub-baseline,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR,2,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,epiforecasts-EpiExpert_direct,2,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,itwm-dSEIR,2,DE,Deaths
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,UMass-MechBayes,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert_direct,2,DE,Deaths
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Deaths
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UMass-MechBayes,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,itwm-dSEIR,2,DE,Deaths
IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,itwm-dSEIR,2,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR,2,DE,Deaths
FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiExpert_Rt,itwm-dSEIR,2,DE,Deaths
ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Deaths
IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,2,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,2,DE,Deaths
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Deaths
